#####################################################################
# Alchemist log file - simulation started at: 2018-04-26T12:59+0000 #
#####################################################################
# random = 48.0
#
# The columns have the following meaning: 
# time n_procs_run[Sum] n_procs_run[Mean] msg_sent_spawn[Sum] msg_received_spawn[Sum] cumulative_time_spawn[Sum] bandwidth_spawn[Sum] bandwidth_spawn[Mean] n_active_msgs[Sum] n_active_msgs[Mean] msg_sent_nospawn[Sum] msg_received_nospawn[Sum] cumulative_time_nospawn[Sum] n_rounds_nospawn[Sum] n_rounds_nospawn[Mean] bandwidth_nospawn[Sum] bandwidth_nospawn[Mean] 
0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0012683402730715 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1130.0 1.1300000000000001 0.0 0.0 
2.000219920408214 7.0 0.007000000000000017 1.0 0.0 0.0 0.0 0.0 1.0 9.999999999999992E-4 1.0 0.0 0.0 2109.0 2.109 96.0 0.0960000000000011 
3.000362848698983 171.0 0.171 3.0 0.0 0.0 0.0 0.0 29.0 0.029000000000000057 3.0 0.0 0.0 3136.0 3.136 2576.0 2.575999999999996 
4.001545798956149 250.0 0.25 3.0 0.0 0.0 0.0 0.0 233.0 0.233 3.0 0.0 0.0 4168.0 4.168 22063.0 22.063000000000006 
5.000344974197591 418.0 0.4180000000000001 3.0 0.0 0.0 12.0 0.011999999999999992 609.0 0.609 3.0 1.0 2.5148558030981283 5223.0 5.223000000000001 72715.0 72.715 
6.000191828802744 640.0 0.6399999999999999 4.0 0.0 0.0 30.0 0.030000000000000027 1239.0 1.2389999999999999 4.0 1.0 2.5148558030981283 6277.0 6.276999999999999 180404.0 180.404 
7.000946405571995 887.0 0.8869999999999997 4.0 0.0 0.0 67.0 0.06699999999999993 1897.0 1.897 4.0 1.0 2.5148558030981283 7315.0 7.3149999999999995 349409.0 349.409 
8.002335486581318 1188.0 1.188 6.0 1.0 6.01853986602318 118.0 0.11799999999999992 2535.0 2.535 6.0 2.0 7.303744686921249 8353.0 8.353 572966.0 572.966 
9.000025523125661 1505.0 1.5050000000000001 6.0 3.0 9.773459894303379 207.0 0.20699999999999952 3223.0 3.2230000000000003 6.0 3.0 10.84755631713854 9389.0 9.389000000000001 853045.0 853.045 
