#####################################################################
# Alchemist log file - simulation started at: 2018-04-25T11:18+0000 #
#####################################################################
# random = 3.0
#
# The columns have the following meaning: 
# time n_procs_run[Sum] n_procs_run[Mean] msg_sent_spawn[Sum] msg_received_spawn[Sum] cumulative_time_spawn[Sum] bandwidth_spawn[Sum] bandwidth_spawn[Mean] n_active_msgs[Sum] n_active_msgs[Mean] msg_sent_nospawn[Sum] msg_received_nospawn[Sum] cumulative_time_nospawn[Sum] n_rounds_nospawn[Sum] n_rounds_nospawn[Mean] bandwidth_nospawn[Sum] bandwidth_nospawn[Mean] 
0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0024229669010367 49.0 0.04900000000000004 1.0 0.0 0.0 0.0 0.0 1.0 9.999999999999992E-4 1.0 0.0 0.0 1120.0 1.12 25.0 0.024999999999999783 
2.001124944359795 121.0 0.12099999999999984 2.0 0.0 0.0 0.0 0.0 32.0 0.03199999999999997 2.0 0.0 0.0 2115.0 2.115 2750.0 2.75 
3.000033024650274 246.0 0.24599999999999994 4.0 0.0 0.0 0.0 0.0 269.0 0.2689999999999999 4.0 0.0 0.0 3142.0 3.1420000000000003 25316.0 25.31599999999999 
4.0007923560296454 364.0 0.364 4.0 0.0 0.0 3.0 0.0030000000000000105 749.0 0.749 4.0 1.0 1.9604887320633388 4188.0 4.188 93584.0 93.58399999999999 
5.000322201093765 475.0 0.4750000000000001 5.0 0.0 0.0 8.0 0.007999999999999993 1240.0 1.24 5.0 1.0 1.9604887320633388 5227.0 5.226999999999999 222215.0 222.215 
6.004430732780571 614.0 0.6139999999999997 8.0 0.0 0.0 18.0 0.018000000000000117 2018.0 2.018 8.0 2.0 5.3551293180011434 6273.0 6.2730000000000015 438589.0 438.58900000000006 
7.00049961804868 926.0 0.9259999999999999 10.0 0.0 0.0 40.0 0.03999999999999998 3024.0 3.0239999999999996 10.0 3.0 9.186163787591584 7304.0 7.303999999999999 749711.0 749.7109999999999 
8.001324355234619 1367.0 1.3669999999999995 11.0 0.0 0.0 80.0 0.07999999999999995 3863.0 3.8630000000000004 11.0 3.0 9.186163787591584 8367.0 8.366999999999999 1146603.0 1146.6030000000003 
9.000782095454298 2067.0 2.067 13.0 1.0 1.8708133644876836 134.0 0.1339999999999998 4642.0 4.642 13.0 5.0 19.274205583671993 9405.0 9.405 1626966.0 1626.966 
10.003921235453388 2850.0 2.850000000000001 14.0 3.0 7.059495045486271 248.0 0.24799999999999967 5812.0 5.811999999999999 14.0 5.0 19.274205583671993 10440.0 10.440000000000001 2243992.0 2243.992 
11.000167954045272 3696.0 3.696000000000001 15.0 3.0 7.059495045486271 417.0 0.4169999999999992 7154.0 7.154 15.0 6.0 24.525731235767577 11473.0 11.473 3016485.0 3016.4849999999997 
12.001630576442205 4417.0 4.416999999999999 16.0 7.0 34.844252059977165 622.0 0.6220000000000001 8071.0 8.071 16.0 11.0 48.83938003645025 12531.0 12.530999999999999 3916338.0 3916.338 
13.000847983047823 5007.0 5.006999999999998 19.0 8.0 35.58488659909778 876.0 0.8760000000000002 8090.0 8.09 19.0 12.0 53.014476598727214 13586.0 13.586 4861757.0 4861.7570000000005 
14.000327315446428 5549.0 5.548999999999997 20.0 9.0 36.65709417476114 1158.0 1.157999999999999 7727.0 7.727 20.0 14.0 65.38777615007288 14628.0 14.628000000000002 5806096.0 5806.0960000000005 
15.001243071089592 6008.0 6.007999999999998 21.0 10.0 39.94230840628671 1466.0 1.4660000000000006 7240.0 7.239999999999999 21.0 15.0 67.24933110210587 15680.0 15.679999999999998 6737533.0 6737.533 
16.00010631498822 6378.0 6.378000000000004 21.0 12.0 56.88322925701874 1787.0 1.7869999999999984 6693.0 6.6930000000000005 21.0 17.0 75.35522837685467 16695.0 16.695000000000004 7643004.0 7643.003999999999 
17.0002035452725 6446.0 6.4460000000000015 22.0 13.0 68.27928632801593 2089.0 2.0890000000000013 6180.0 6.18 22.0 17.0 75.35522837685467 17748.0 17.748 8570950.0 8570.95 
18.00157697852228 6284.0 6.284000000000001 24.0 14.0 71.9972466729424 2405.0 2.404999999999999 5591.0 5.590999999999999 24.0 18.0 79.07318872178115 18791.0 18.791 9476706.0 9476.706 
19.00192904411835 6574.0 6.573999999999998 26.0 15.0 76.63582712992 2694.0 2.694 5164.0 5.164 26.0 19.0 84.59561080926181 19830.0 19.830000000000002 1.0352614E7 10352.614 
20.000298661485225 6740.0 6.739999999999998 26.0 17.0 101.25742963463837 3049.0 3.0489999999999964 5038.0 5.038 26.0 21.0 97.34880963132397 20882.0 20.881999999999998 1.1179314E7 11179.314 
21.000463186254642 7107.0 7.107000000000001 26.0 19.0 118.11317233789045 3370.0 3.3699999999999974 5067.0 5.067 26.0 22.0 101.208537246367 21885.0 21.885 1.1932586E7 11932.586000000001 
22.000096856721584 7359.0 7.358999999999998 28.0 20.0 139.80677865057893 3754.0 3.7540000000000013 4900.0 4.9 28.0 22.0 101.208537246367 22956.0 22.956000000000003 1.2667685E7 12667.685000000001 
23.000085957619568 7851.0 7.851000000000001 30.0 21.0 155.58162037982143 4179.0 4.178999999999999 4802.0 4.802 30.0 22.0 101.208537246367 24010.0 24.01 1.3345649E7 13345.649000000001 
24.000793518333086 8561.0 8.560999999999996 32.0 24.0 165.1007833202284 4571.0 4.571000000000001 5125.0 5.125 32.0 24.0 109.86007172066078 25084.0 25.083999999999996 1.4030527E7 14030.526999999998 
25.001469074498548 9018.0 9.018 32.0 26.0 176.6083453839076 5068.0 5.067999999999999 5891.0 5.891 32.0 26.0 121.97352502590451 26111.0 26.111000000000004 1.4733878E7 14733.878 
26.00209294867068 9123.0 9.123000000000003 32.0 29.0 200.30816069007204 5551.0 5.5510000000000055 6323.0 6.323 32.0 30.0 137.97190188662012 27147.0 27.147000000000006 1.5469537E7 15469.537000000002 
27.00031911632565 9007.0 9.006999999999998 34.0 30.0 205.07891257427593 6036.0 6.035999999999999 6469.0 6.468999999999999 34.0 30.0 137.97190188662012 28183.0 28.183000000000003 1.6239968E7 16239.968 
28.00052686492913 9117.0 9.117000000000003 35.0 30.0 205.07891257427593 6517.0 6.517000000000003 5917.0 5.917 35.0 30.0 137.97190188662012 29229.0 29.229000000000006 1.7014E7 17014.0 
29.000274627670017 9085.0 9.084999999999997 36.0 32.0 216.4905041565993 6945.0 6.945000000000006 5589.0 5.589000000000001 36.0 32.0 144.9904785542094 30267.0 30.267000000000003 1.781524E7 17815.239999999998 
30.002214629304856 8894.0 8.893999999999998 36.0 34.0 221.29332833624704 7418.0 7.417999999999995 5331.0 5.3309999999999995 36.0 32.0 144.9904785542094 31316.0 31.316000000000003 1.8632675E7 18632.675 
31.001569689463263 8784.0 8.784000000000002 36.0 35.0 225.71939291102683 7892.0 7.892000000000002 4810.0 4.8100000000000005 36.0 34.0 151.40680490316308 32361.0 32.361000000000004 1.9397089E7 19397.089 
32.001354900062914 8507.0 8.506999999999998 39.0 37.0 229.61209335817995 8344.0 8.344000000000003 4443.0 4.4430000000000005 39.0 35.0 159.50895168694268 33407.0 33.407000000000004 2.0114303E7 20114.303 
33.00044663889468 8538.0 8.537999999999998 39.0 37.0 229.61209335817995 8763.0 8.763000000000003 4107.0 4.107 39.0 35.0 159.50895168694268 34430.0 34.42999999999999 2.0779034E7 20779.034 
34.00006659741576 8152.0 8.152000000000003 39.0 38.0 231.1634576337413 9147.0 9.147000000000002 3787.0 3.7870000000000004 39.0 36.0 166.88233555159647 35452.0 35.452 2.1389303E7 21389.303 
35.0006313269959 8131.0 8.131 41.0 40.0 234.20029091751462 9510.0 9.510000000000007 3623.0 3.6229999999999998 41.0 38.0 173.0803712457376 36504.0 36.504 2.1961134E7 21961.134000000002 
36.00014078843122 7810.0 7.809999999999999 43.0 40.0 234.20029091751462 9870.0 9.869999999999996 3628.0 3.628 43.0 40.0 177.78696480278128 37563.0 37.56300000000001 2.2491508E7 22491.508 
37.00016137617954 7192.0 7.191999999999997 43.0 41.0 235.50749890592402 10235.0 10.234999999999989 3474.0 3.4739999999999998 43.0 40.0 177.78696480278128 38610.0 38.60999999999999 2.297199E7 22971.989999999998 
38.00136216365785 6444.0 6.444000000000003 43.0 42.0 238.70595504216914 10541.0 10.540999999999995 3420.0 3.4199999999999995 43.0 40.0 177.78696480278128 39644.0 39.644 2.3501323E7 23501.322999999997 
39.00099643980057 5709.0 5.708999999999998 43.0 43.0 241.81168364123005 10769.0 10.768999999999995 3466.0 3.4659999999999997 43.0 43.0 188.97433988833214 40693.0 40.693000000000005 2.4079836E7 24079.836000000003 
40.00011971558279 5006.0 5.006 45.0 43.0 241.81168364123005 10945.0 10.944999999999995 3231.0 3.231 45.0 43.0 188.97433988833214 41743.0 41.743 2.4649638E7 24649.638 
41.003256421409056 4448.0 4.447999999999996 46.0 43.0 241.81168364123005 11079.0 11.079000000000006 2772.0 2.7720000000000002 46.0 43.0 188.97433988833214 42806.0 42.806000000000004 2.5174919E7 25174.919 
42.000320709598036 4284.0 4.284000000000001 47.0 43.0 241.81168364123005 11238.0 11.237999999999989 2480.0 2.48 47.0 43.0 188.97433988833214 43856.0 43.856 2.5652592E7 25652.591999999997 
43.001765840491295 4003.0 4.003 47.0 44.0 244.60973101777137 11384.0 11.383999999999988 2722.0 2.7219999999999995 47.0 45.0 195.48840188987643 44906.0 44.906 2.6125734E7 26125.734 
44.00056511702278 3522.0 3.521999999999998 48.0 46.0 251.9164468619556 11489.0 11.488999999999999 3078.0 3.0779999999999994 48.0 45.0 195.48840188987643 45941.0 45.940999999999995 2.6569261E7 26569.261 
