#####################################################################
# Alchemist log file - simulation started at: 2018-04-26T11:28+0000 #
#####################################################################
# random = 20.0
#
# The columns have the following meaning: 
# time n_procs_run[Sum] n_procs_run[Mean] msg_sent_spawn[Sum] msg_received_spawn[Sum] cumulative_time_spawn[Sum] bandwidth_spawn[Sum] bandwidth_spawn[Mean] n_active_msgs[Sum] n_active_msgs[Mean] msg_sent_nospawn[Sum] msg_received_nospawn[Sum] cumulative_time_nospawn[Sum] n_rounds_nospawn[Sum] n_rounds_nospawn[Mean] bandwidth_nospawn[Sum] bandwidth_nospawn[Mean] 
0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0019969605557242 1.0 9.999999999999992E-4 1.0 0.0 0.0 0.0 0.0 1.0 9.999999999999992E-4 1.0 0.0 0.0 1121.0 1.1209999999999998 40.0 0.0400000000000005 
2.000143472980459 40.0 0.03999999999999997 1.0 0.0 0.0 0.0 0.0 45.0 0.045000000000000054 1.0 0.0 0.0 2109.0 2.1089999999999995 3180.0 3.179999999999995 
3.000355480600578 166.0 0.16599999999999993 3.0 0.0 0.0 2.0 0.0019999999999999983 163.0 0.1629999999999999 3.0 0.0 0.0 3129.0 3.1290000000000004 17584.0 17.584000000000017 
4.00068355965146 273.0 0.27300000000000013 5.0 0.0 0.0 4.0 0.003999999999999997 478.0 0.47799999999999987 5.0 1.0 1.5867783591315248 4163.0 4.163000000000001 60994.0 60.994 
5.000756795977826 443.0 0.4430000000000002 6.0 0.0 0.0 10.0 0.010000000000000009 933.0 0.9330000000000002 6.0 2.0 4.956142819848441 5202.0 5.202000000000001 146787.0 146.78700000000006 
6.000114525685918 592.0 0.5919999999999997 7.0 1.0 2.938227192738181 32.0 0.03199999999999997 1540.0 1.5400000000000005 7.0 2.0 4.956142819848441 6234.0 6.233999999999999 284193.0 284.1929999999999 
7.001579325411658 866.0 0.8660000000000002 9.0 3.0 6.848984559508219 85.0 0.08499999999999974 2307.0 2.307 9.0 2.0 4.956142819848441 7268.0 7.268 490387.0 490.387 
8.000855993291541 1372.0 1.372 11.0 3.0 6.848984559508219 178.0 0.17799999999999963 3171.0 3.1710000000000003 11.0 4.0 9.998773534785887 8304.0 8.303999999999998 768261.0 768.2609999999999 
9.000040548633292 1871.0 1.871 13.0 6.0 11.404151988768541 315.0 0.31500000000000017 4182.0 4.1819999999999995 13.0 5.0 15.798970374157559 9340.0 9.339999999999998 1130217.0 1130.2169999999999 
10.001323942345579 2568.0 2.568 15.0 6.0 11.404151988768541 512.0 0.5119999999999996 5136.0 5.135999999999999 15.0 9.0 27.500921443774413 10362.0 10.362000000000002 1559866.0 1559.8659999999998 
11.00031179323548 3152.0 3.1519999999999997 16.0 7.0 14.657715240198447 740.0 0.7400000000000003 5811.0 5.811 16.0 9.0 27.500921443774413 11400.0 11.399999999999999 2044541.0 2044.541 
12.001432509792835 3963.0 3.962999999999999 16.0 8.0 19.641491592423687 1003.0 1.003 6484.0 6.483999999999999 16.0 11.0 36.4583687458997 12425.0 12.425000000000002 2571244.0 2571.244 
13.001363644323458 4378.0 4.378 19.0 9.0 31.37122411402434 1311.0 1.3109999999999993 6799.0 6.799 19.0 13.0 49.7471705584433 13482.0 13.482 3152334.0 3152.334 
14.000233807488643 4686.0 4.686 19.0 11.0 46.03672307697341 1586.0 1.5860000000000012 6809.0 6.809 19.0 14.0 53.4482236323754 14516.0 14.516 3724821.0 3724.8210000000004 
15.000402507566204 4975.0 4.974999999999999 21.0 12.0 49.79327937107298 1870.0 1.8699999999999992 6233.0 6.2330000000000005 21.0 15.0 58.564180870353994 15561.0 15.560999999999996 4240198.0 4240.197999999999 
16.001093993338266 5533.0 5.5329999999999995 23.0 15.0 59.46149538517412 2217.0 2.2170000000000005 5565.0 5.565 23.0 16.0 61.14638722248867 16598.0 16.597999999999995 4683094.0 4683.094 
17.001455031582516 6161.0 6.160999999999999 24.0 17.0 78.77641299770866 2621.0 2.620999999999999 5418.0 5.418000000000001 24.0 17.0 66.30029017320967 17648.0 17.648000000000003 5128323.0 5128.322999999999 
18.002381087820446 6643.0 6.642999999999999 24.0 17.0 78.77641299770866 2966.0 2.9659999999999997 5795.0 5.794999999999999 24.0 18.0 68.24088628592135 18673.0 18.673 5600809.0 5600.808999999999 
19.002066580748 6866.0 6.866 25.0 17.0 78.77641299770866 3375.0 3.375 6115.0 6.114999999999999 25.0 18.0 68.24088628592135 19712.0 19.712000000000003 6111030.0 6111.030000000001 
20.000333167922307 7185.0 7.184999999999999 25.0 19.0 92.5098225444491 3869.0 3.8689999999999998 6170.0 6.169999999999999 25.0 20.0 79.13756967770684 20724.0 20.724000000000004 6617037.0 6617.037000000001 
21.0012769586067 7106.0 7.106000000000001 25.0 22.0 108.38001986888938 4298.0 4.297999999999998 6279.0 6.279 25.0 22.0 92.39842556232692 21756.0 21.756 7132199.0 7132.1990000000005 
22.004037465707015 6865.0 6.865000000000001 25.0 22.0 108.38001986888938 4692.0 4.691999999999996 6117.0 6.117 25.0 24.0 102.81271717181033 22818.0 22.817999999999998 7651306.0 7651.3060000000005 
23.00114905150668 6943.0 6.943000000000001 28.0 22.0 108.38001986888938 5111.0 5.111000000000005 5786.0 5.786 28.0 25.0 108.47334401017879 23836.0 23.835999999999995 8111356.0 8111.356 
24.000108051705183 7300.0 7.300000000000001 29.0 24.0 117.3585658291777 5555.0 5.554999999999994 5309.0 5.308999999999999 29.0 26.0 109.62446266207364 24881.0 24.881 8545119.0 8545.119 
25.000531468492913 7228.0 7.2280000000000015 30.0 27.0 145.96957780529627 6030.0 6.030000000000009 5051.0 5.050999999999999 30.0 26.0 109.62446266207364 25930.0 25.929999999999996 8962148.0 8962.148 
26.000411002152912 7112.0 7.112 32.0 29.0 149.60450491895713 6495.0 6.4949999999999966 4702.0 4.702000000000001 32.0 28.0 116.58203306901208 26956.0 26.956000000000003 9357258.0 9357.258 
27.002028643532732 6985.0 6.985 32.0 30.0 149.95471294923541 7036.0 7.035999999999999 4278.0 4.2780000000000005 32.0 31.0 121.81732788950063 27999.0 27.999000000000002 9731460.0 9731.460000000001 
28.001182032187938 6801.0 6.800999999999999 33.0 31.0 154.0068706690791 7536.0 7.535999999999999 3760.0 3.759999999999999 33.0 31.0 121.81732788950063 29014.0 29.013999999999996 1.0046941E7 10046.940999999999 
29.00046968221152 6627.0 6.627000000000002 35.0 31.0 154.0068706690791 7957.0 7.957000000000005 2984.0 2.9839999999999987 35.0 31.0 121.81732788950063 30037.0 30.037 1.0292827E7 10292.827 
30.000511192654855 6404.0 6.404000000000002 35.0 32.0 154.75600265088184 8354.0 8.354000000000006 2517.0 2.5170000000000003 35.0 32.0 122.56645987130338 31102.0 31.102 1.0500346E7 10500.346 
31.000231251376253 6171.0 6.170999999999999 35.0 34.0 163.8006533742413 8685.0 8.685000000000002 2515.0 2.5149999999999997 35.0 32.0 122.56645987130338 32129.0 32.129 1.0697389E7 10697.389000000001 
32.00116846431623 5930.0 5.929999999999999 36.0 35.0 166.93320221555115 9040.0 9.039999999999997 2664.0 2.664 36.0 33.0 126.0860963414766 33157.0 33.157000000000004 1.0912905E7 10912.905 
33.000313258305795 5382.0 5.382000000000001 37.0 35.0 166.93320221555115 9324.0 9.323999999999998 2992.0 2.992 37.0 35.0 139.06266548544204 34204.0 34.20399999999999 1.1161216E7 11161.216 
34.00584874539443 5114.0 5.114 37.0 35.0 166.93320221555115 9582.0 9.582000000000006 3007.0 3.007 37.0 35.0 139.06266548544204 35269.0 35.269 1.141345E7 11413.45 
35.00094258192338 4937.0 4.937000000000001 38.0 35.0 166.93320221555115 9797.0 9.796999999999988 2879.0 2.8789999999999996 38.0 36.0 142.05585438794614 36281.0 36.28099999999999 1.1640985E7 11640.985 
36.00041483583233 5027.0 5.026999999999999 40.0 36.0 170.62800479079635 10016.0 10.016000000000004 2685.0 2.685 40.0 36.0 142.05585438794614 37326.0 37.32599999999999 1.1853974E7 11853.973999999998 
37.00101786877643 4721.0 4.720999999999999 42.0 37.0 174.66301735969785 10204.0 10.204000000000008 2531.0 2.5309999999999997 42.0 37.0 145.14394135137272 38391.0 38.391 1.205058E7 12050.58 
38.000218605721564 4337.0 4.336999999999999 42.0 37.0 174.66301735969785 10386.0 10.386000000000005 2474.0 2.474 42.0 37.0 145.14394135137272 39415.0 39.41499999999999 1.2242879E7 12242.878999999999 
39.00127005687211 4257.0 4.257 42.0 39.0 182.22444436359646 10590.0 10.589999999999995 2750.0 2.75 42.0 38.0 147.09659193379952 40453.0 40.45300000000001 1.2460129E7 12460.128999999999 
40.000637434754296 4312.0 4.312000000000001 42.0 41.0 189.3032890937735 10825.0 10.824999999999989 3075.0 3.0750000000000006 42.0 38.0 147.09659193379952 41494.0 41.49399999999999 1.2722052E7 12722.052000000001 
41.00232710834905 4335.0 4.335 43.0 42.0 193.70472309817796 11052.0 11.051999999999989 3418.0 3.418 43.0 42.0 167.62635223343153 42525.0 42.525000000000006 1.3004408E7 13004.408000000001 
42.000248202637614 4195.0 4.195 45.0 42.0 193.70472309817796 11262.0 11.262000000000024 3636.0 3.636 45.0 42.0 167.62635223343153 43552.0 43.55199999999999 1.3296835E7 13296.835000000001 
43.00009777880375 4184.0 4.184000000000001 47.0 44.0 196.98420545462162 11478.0 11.478000000000018 3643.0 3.6429999999999993 47.0 43.0 170.34129842695663 44632.0 44.632 1.3598891E7 13598.890999999998 
44.000437261459815 4281.0 4.281000000000001 49.0 44.0 196.98420545462162 11677.0 11.676999999999987 3508.0 3.508 49.0 44.0 172.04171186995163 45683.0 45.68300000000001 1.3882749E7 13882.749 
45.00000143825674 4340.0 4.339999999999999 49.0 46.0 201.97534612771653 11920.0 11.920000000000018 3222.0 3.222 49.0 45.0 173.34327993799732 46731.0 46.73100000000001 1.4128464E7 14128.463999999998 
46.001354555056395 4321.0 4.3210000000000015 50.0 48.0 208.08171850848518 12154.0 12.154000000000003 2778.0 2.7780000000000005 50.0 45.0 173.34327993799732 47738.0 47.738 1.4323145E7 14323.144999999999 
47.00053832378168 4171.0 4.171 53.0 51.0 212.14029619980408 12363.0 12.362999999999973 2783.0 2.782999999999999 53.0 45.0 173.34327993799732 48793.0 48.79299999999999 1.4527584E7 14527.583999999999 
48.00172755145508 4469.0 4.468999999999999 55.0 51.0 212.14029619980408 12663.0 12.662999999999991 3629.0 3.628999999999999 55.0 50.0 190.7031403169485 49814.0 49.81399999999999 1.4803429E7 14803.428999999998 
49.00032212291541 5019.0 5.019000000000001 56.0 52.0 212.95389734869704 13015.0 13.015000000000011 4670.0 4.669999999999999 56.0 50.0 190.7031403169485 50869.0 50.86899999999999 1.5184766E7 15184.765999999998 
50.00085085395685 5303.0 5.303000000000001 59.0 52.0 212.95389734869704 13320.0 13.319999999999979 4852.0 4.851999999999999 59.0 52.0 200.64197231048908 51915.0 51.915 1.5564743E7 15564.742999999999 
51.000727392685164 5087.0 5.086999999999998 59.0 54.0 219.04884153757814 13566.0 13.565999999999987 4945.0 4.945 59.0 52.0 200.64197231048908 52966.0 52.965999999999994 1.5950352E7 15950.352 
52.00282900031524 4962.0 4.961999999999998 61.0 54.0 219.04884153757814 13808.0 13.808000000000007 5298.0 5.297999999999999 61.0 52.0 200.64197231048908 54000.0 54.0 1.6354296E7 16354.295999999998 
53.000953597746154 5060.0 5.059999999999999 63.0 56.0 227.60549159002926 14031.0 14.031000000000029 5880.0 5.88 63.0 55.0 214.7767794134817 55027.0 55.027 1.6809825E7 16809.825 
54.0011811207354 5142.0 5.142 63.0 57.0 233.36310966826684 14307.0 14.306999999999988 6481.0 6.480999999999999 63.0 56.0 218.94482139218533 56082.0 56.08200000000001 1.7324146E7 17324.145999999997 
55.001553447478244 5181.0 5.181000000000001 63.0 58.0 236.27527840752185 14529.0 14.529000000000003 6776.0 6.776000000000002 63.0 58.0 229.74732272741767 57118.0 57.117999999999995 1.7857579E7 17857.579 
56.00008034009893 4837.0 4.836999999999999 64.0 61.0 251.99602201720919 14755.0 14.754999999999987 6631.0 6.631 64.0 59.0 237.1363482863298 58162.0 58.162 1.8382356E7 18382.356 
57.00075283208098 4257.0 4.257 66.0 62.0 253.72897541069932 14967.0 14.96699999999999 6511.0 6.511 66.0 60.0 238.86930167981993 59198.0 59.19800000000001 1.8897919E7 18897.919 
58.00054471122059 4217.0 4.2170000000000005 67.0 63.0 258.83931228764385 15181.0 15.180999999999976 6244.0 6.244 67.0 63.0 256.3846350542793 60236.0 60.236000000000004 1.9390255E7 19390.254999999997 
59.000933563640444 4506.0 4.506 67.0 63.0 258.83931228764385 15414.0 15.41400000000001 5971.0 5.971 67.0 63.0 256.3846350542793 61284.0 61.284000000000006 1.9865009E7 19865.009000000002 
60.000483821642945 4447.0 4.446999999999999 67.0 64.0 260.9556722537303 15679.0 15.678999999999993 5579.0 5.579 67.0 65.0 265.84359735750576 62338.0 62.33800000000001 2.0313864E7 20313.864 
61.00006084464795 4306.0 4.306000000000001 68.0 65.0 264.7630328624136 15893.0 15.892999999999978 4843.0 4.843 68.0 66.0 269.3059254242029 63364.0 63.36399999999999 2.0687105E7 20687.105 
62.00072344342986 4028.0 4.028 70.0 67.0 279.0208977266118 16108.0 16.108000000000033 4374.0 4.374 70.0 66.0 269.3059254242029 64398.0 64.39799999999998 2.1023379E7 21023.379 
63.00001494912244 4039.0 4.038999999999999 70.0 67.0 279.0208977266118 16334.0 16.333999999999996 4070.0 4.07 70.0 67.0 273.8105755998353 65445.0 65.44500000000002 2.1339335E7 21339.335000000003 
64.00033723095675 4096.0 4.095999999999998 71.0 67.0 279.0208977266118 16574.0 16.57399999999999 3858.0 3.8579999999999997 71.0 68.0 276.9942175588038 66455.0 66.455 2.1640805E7 21640.805 
