#####################################################################
# Alchemist log file - simulation started at: 2018-04-26T11:35+0000 #
#####################################################################
# random = 11.0
#
# The columns have the following meaning: 
# time gossip_naive_val[Mean] gossip_replicated_val[Mean] gossip_gc_val[Mean] gossip_opt_val[Mean] gossip_true_val[Mean] gossip_naive_err[Mean] gossip_replicated_err[Mean] gossip_gc_err[Mean] gossip_naive_true_err[Mean] gossip_gc_true_err[Mean] gossip_replicated_true_err[Mean] oracle_true_err[Mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
5.00314966400418 0.0014878429128381393 0.0014878429128381393 5.775792264050521E-5 0.0014986223219592342 1.0 4.4690638846132123E-10 4.4690638846132123E-10 2.130924370470054E-6 0.9970265282047726 0.9998845428296695 0.9970265282047726 0.9970050016503659 
10.00314966400418 0.0018584381845542972 0.0018584381845542972 1.460436639900974E-4 0.0019044248078564827 1.0 8.133728933604273E-9 8.133728933604273E-9 3.289940955112803E-6 0.9962865838646648 0.9997081198115019 0.9962865838646648 0.99619478496082 
15.00314966400418 0.0023425971743693194 0.0023425971743693194 3.5160519135584854E-4 0.0023425971743693194 1.0 0.0 0.0 4.453369463791614E-6 0.9953202934127826 0.9992974025638862 0.9953202934127826 0.9953202934127826 
20.00226133052837 0.002699274094181907 0.002699274094181907 6.557238768376897E-4 0.002824474260351876 1.0 2.872734689608192E-8 2.872734689608192E-8 5.747623669188968E-6 0.9946087571675868 0.9986900045566388 0.9946087571675868 0.9943590407159006 
25.00314966400418 0.0034187802573745203 0.0034187802573745203 9.770379725002364E-4 0.0036727853674566957 1.0 7.54796708240158E-8 7.54796708240158E-8 9.070512487371992E-6 0.9931741289918108 0.9980486879717827 0.9931741289918108 0.9926679334002709 
30.00314966400418 0.004676935588333717 0.004676935588333717 0.0013363608856174145 0.00497582061079853 1.0 1.1554576263524475E-7 1.1554576263524475E-7 1.599691279349967E-5 0.9906680060988179 0.997331792206143 0.9906680060988179 0.9900731501176218 
35.000706353239785 0.006380403731632788 0.006380403731632788 0.0018793405534699252 0.006557636664853595 1.0 7.298917918352084E-8 7.298917918352084E-8 2.6783304401498116E-5 0.9872799163967991 0.9962496101388867 0.9872799163967991 0.986927762211775 
40.003149664004184 0.011204736373418072 0.011204736373418072 0.002797525386863824 0.011772367415692476 1.0 6.724792146690523E-7 6.724792146690523E-7 9.243422156635595E-5 0.9777162832317727 0.9944241854848364 0.9777162832317727 0.9765940377903856 
45.00300174704445 0.01443423533310501 0.01443423533310501 0.004611748496370404 0.015455071266100226 1.0 1.278939875700332E-6 1.278939875700332E-6 1.4269670857736577E-4 0.9713398949069821 0.9908231599149466 0.9713398949069821 0.9693289687427945 
