#####################################################################
# Alchemist log file - simulation started at: 2018-04-26T02:03+0000 #
#####################################################################
# random = 84.0
#
# The columns have the following meaning: 
# time n_procs_run[Sum] n_procs_run[Mean] msg_sent_spawn[Sum] msg_received_spawn[Sum] cumulative_time_spawn[Sum] bandwidth_spawn[Sum] bandwidth_spawn[Mean] n_active_msgs[Sum] n_active_msgs[Mean] msg_sent_nospawn[Sum] msg_received_nospawn[Sum] cumulative_time_nospawn[Sum] n_rounds_nospawn[Sum] n_rounds_nospawn[Mean] bandwidth_nospawn[Sum] bandwidth_nospawn[Mean] 
0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0030756438272608 56.0 0.05599999999999996 2.0 0.0 0.0 0.0 0.0 2.0 0.0019999999999999983 2.0 0.0 0.0 1100.0 1.1 90.0 0.08999999999999876 
2.0043660922768796 157.0 0.15699999999999997 3.0 0.0 0.0 0.0 0.0 26.0 0.02600000000000008 3.0 0.0 0.0 2084.0 2.0840000000000005 2107.0 2.106999999999992 
3.002390329742154 369.0 0.36900000000000016 5.0 0.0 0.0 12.0 0.01199999999999999 280.0 0.2800000000000003 5.0 0.0 0.0 3101.0 3.1010000000000004 24505.0 24.505 
4.000697135182584 518.0 0.518 5.0 0.0 0.0 29.0 0.029000000000000074 932.0 0.9319999999999999 5.0 0.0 0.0 4119.0 4.119 110570.0 110.57000000000001 
5.001747351134311 529.0 0.5290000000000001 5.0 0.0 0.0 40.0 0.0400000000000002 1882.0 1.882 5.0 0.0 0.0 5187.0 5.186999999999999 294477.0 294.4770000000001 
6.000612186300948 648.0 0.6480000000000001 6.0 0.0 0.0 62.0 0.06200000000000019 2685.0 2.685 6.0 2.0 8.984043441757619 6213.0 6.212999999999999 542619.0 542.619 
7.00125638633299 852.0 0.8519999999999999 6.0 1.0 1.373938368847682 102.0 0.1019999999999998 3213.0 3.2129999999999996 6.0 5.0 21.13317949718568 7247.0 7.247 851724.0 851.7239999999999 
8.000202524436117 1198.0 1.1979999999999997 7.0 1.0 1.373938368847682 170.0 0.16999999999999965 3321.0 3.3210000000000006 7.0 6.0 23.374329345613006 8271.0 8.271 1220028.0 1220.028 
9.003326194490775 1491.0 1.4910000000000003 8.0 1.0 1.373938368847682 253.0 0.2529999999999999 3029.0 3.029 8.0 6.0 23.374329345613006 9313.0 9.312999999999999 1645391.0 1645.3910000000003 
10.000503017131066 1873.0 1.873 9.0 4.0 19.950102855442072 378.0 0.3779999999999999 2445.0 2.445 9.0 6.0 23.374329345613006 10362.0 10.361999999999998 2116180.0 2116.18 
11.001256797024707 2242.0 2.2419999999999995 9.0 5.0 22.60913510573305 509.0 0.5089999999999997 2006.0 2.006 9.0 8.0 27.953809727867757 11392.0 11.392000000000001 2576961.0 2576.9610000000002 
12.001972299922544 2514.0 2.514 13.0 5.0 22.60913510573305 647.0 0.6469999999999999 1817.0 1.817 13.0 8.0 27.953809727867757 12423.0 12.422999999999998 3006928.0 3006.928 
13.00067306290126 3175.0 3.175 13.0 7.0 24.895095262163117 834.0 0.8339999999999979 1941.0 1.9410000000000003 13.0 9.0 31.387393629179577 13478.0 13.478 3406703.0 3406.7029999999995 
14.001327700912924 3588.0 3.5879999999999996 13.0 9.0 38.78040777916216 1098.0 1.0979999999999992 2455.0 2.455 13.0 11.0 36.21204362025184 14503.0 14.503 3795766.0 3795.766 
15.000155268867022 3853.0 3.8529999999999998 13.0 10.0 50.670506840816934 1437.0 1.436999999999999 2789.0 2.7889999999999997 13.0 11.0 36.21204362025184 15556.0 15.556000000000001 4210578.0 4210.5779999999995 
16.00016009903562 3789.0 3.7889999999999993 14.0 11.0 63.888980895620655 1712.0 1.712000000000001 2881.0 2.881 14.0 12.0 40.473578867664656 16591.0 16.590999999999998 4633240.0 4633.240000000001 
17.0002243711173 3871.0 3.871 15.0 11.0 63.888980895620655 1977.0 1.9769999999999992 2963.0 2.962999999999999 15.0 13.0 45.362409808050764 17614.0 17.613999999999997 5058883.0 5058.882999999999 
18.00021577482231 4147.0 4.147000000000001 18.0 11.0 63.888980895620655 2219.0 2.2190000000000043 2878.0 2.878 18.0 13.0 45.362409808050764 18644.0 18.644 5487755.0 5487.755 
19.00025021660335 4680.0 4.68 20.0 14.0 69.27441761012996 2551.0 2.551000000000004 2717.0 2.717 20.0 13.0 45.362409808050764 19675.0 19.675 5904627.0 5904.6269999999995 
20.000160604536067 4790.0 4.79 20.0 15.0 73.22103835302475 2932.0 2.9320000000000017 2868.0 2.868 20.0 14.0 49.46789435379368 20721.0 20.720999999999997 6341663.0 6341.663 
21.00050526020481 4969.0 4.968999999999999 21.0 17.0 84.49596815455912 3373.0 3.373000000000005 3448.0 3.4479999999999995 21.0 16.0 55.94125303538836 21760.0 21.759999999999998 6804639.0 6804.638999999999 
22.000303393131205 5197.0 5.196999999999999 22.0 17.0 84.49596815455912 3795.0 3.795000000000001 4308.0 4.308 22.0 16.0 55.94125303538836 22810.0 22.81 7326798.0 7326.797999999999 
23.000636023904843 5267.0 5.267 23.0 19.0 99.86325330773415 4224.0 4.224000000000006 4926.0 4.926 23.0 20.0 73.93354004855625 23840.0 23.839999999999996 7888389.0 7888.388999999999 
24.00048017475418 5314.0 5.314000000000001 23.0 20.0 104.65871653428415 4594.0 4.594000000000003 5196.0 5.196000000000001 23.0 20.0 73.93354004855625 24858.0 24.857999999999997 8522557.0 8522.557 
25.001040055269222 5077.0 5.077000000000001 23.0 23.0 115.55621367762586 4980.0 4.979999999999992 5184.0 5.183999999999999 23.0 22.0 82.58787049795777 25900.0 25.9 9245941.0 9245.941 
26.003254368758498 5101.0 5.101000000000001 24.0 23.0 115.55621367762586 5407.0 5.407000000000003 4891.0 4.891000000000001 24.0 23.0 85.748782616015 26944.0 26.944 9980153.0 9980.153 
27.00073891050692 5029.0 5.029000000000002 26.0 23.0 115.55621367762586 5817.0 5.816999999999994 4027.0 4.026999999999999 26.0 23.0 85.748782616015 28031.0 28.031 1.0704648E7 10704.648 
28.000161247474924 5212.0 5.211999999999999 28.0 24.0 116.36018496783416 6174.0 6.174000000000013 3105.0 3.1049999999999995 28.0 23.0 85.748782616015 29030.0 29.03 1.1298556E7 11298.556000000002 
29.000466661642434 5337.0 5.336999999999999 28.0 25.0 119.19471101276952 6519.0 6.518999999999996 2634.0 2.634 28.0 24.0 87.6636612879756 30075.0 30.075 1.1875706E7 11875.706 
30.001024210473098 5398.0 5.3980000000000015 29.0 26.0 119.63498926212384 6885.0 6.885000000000007 2879.0 2.879 29.0 24.0 87.6636612879756 31094.0 31.094 1.2404149E7 12404.149 
31.00077030080063 5488.0 5.488 30.0 27.0 122.40776889419845 7317.0 7.316999999999994 3366.0 3.3660000000000005 30.0 27.0 96.45425728132207 32118.0 32.118 1.290569E7 12905.689999999999 
32.00076409104799 5595.0 5.595000000000001 31.0 29.0 131.49780725389743 7782.0 7.78199999999999 3892.0 3.8920000000000003 31.0 28.0 100.3056891107658 33182.0 33.181999999999995 1.3442519E7 13442.519 
33.00040657687206 5654.0 5.654000000000002 31.0 29.0 131.49780725389743 8284.0 8.284000000000002 4100.0 4.1 31.0 28.0 100.3056891107658 34222.0 34.221999999999994 1.3980168E7 13980.168 
34.00221403942639 5449.0 5.449000000000001 33.0 29.0 131.49780725389743 8646.0 8.646000000000017 3988.0 3.9880000000000004 33.0 31.0 112.00227962357661 35269.0 35.269 1.4554388E7 14554.387999999999 
35.0009909475049 5436.0 5.435999999999999 33.0 32.0 139.6004388463212 9023.0 9.022999999999987 3576.0 3.5759999999999996 33.0 31.0 112.00227962357661 36291.0 36.291 1.5122178E7 15122.178 
36.000985992325724 5395.0 5.395000000000001 34.0 33.0 141.80592661400283 9388.0 9.387999999999991 2836.0 2.836 34.0 31.0 112.00227962357661 37352.0 37.352 1.5696063E7 15696.063 
37.000397990176864 5378.0 5.378 35.0 34.0 143.23745749253297 9759.0 9.758999999999988 2281.0 2.2809999999999997 35.0 32.0 115.298855776507 38387.0 38.387 1.6220415E7 16220.414999999997 
38.000004822738454 5351.0 5.351000000000001 35.0 34.0 143.23745749253297 10139.0 10.139000000000001 2221.0 2.221 35.0 33.0 118.67063656919422 39425.0 39.425 1.66731E7 16673.1 
